segment_id,start_node,end_node,start_lat,start_lon,end_lat,end_lon,midpoint_lat,midpoint_lon,length_m,travel_time_s,road_type
S378872,12022663920,596445882,12.9854898,77.6056411,12.9840822,77.6051562,12.984785754885742,77.60539941759758,165.106,15.1,tertiary
S379025,12061073864,573433807,12.9904351,77.5995369,12.9894026,77.599176,12.989918851125871,77.59935644676932,121.285,17.5,primary
S379109,12067463085,6518760485,12.9807949,77.6110229,12.980962,77.6111661,12.98087845,77.61109450000001,24.207,2.2,secondary
S379116,12067529131,429415640,12.9817074,77.6097659,12.9819737,77.608971,12.98184052320609,77.60936844099407,91.077,13.6,unclassified
S379117,12067529131,429415654,12.9817074,77.6097659,12.9811414,77.6095242,12.98142457840298,77.60964464345791,68.169,8.7,residential
S379222,12077162815,12128921371,12.9639559,77.5852611,12.9656192,77.5866696,12.964742093865349,77.58604094834249,244.124,18.5,primary
S379225,12077235749,4209231287,12.9878241,77.6182409,12.9876578,77.618518,12.98774095,77.61837944999999,35.262,3.2,secondary
S379226,12077235749,4209231287,12.9878241,77.6182409,12.9876578,77.618518,12.988570475565924,77.6187963966856,240.401,30.6,residential
S379273,12088201323,10017520650,12.9862318,77.6066988,12.9860326,77.6066839,12.9861322,77.60669135,22.209,2.7,living_street
S379274,12088201323,2334256395,12.9862318,77.6066988,12.9862063,77.6070614,12.98621904073452,77.60688009934778,39.39,4.8,living_street
S379275,12088201323,10017520661,12.9862318,77.6066988,12.9863046,77.6062123,12.98625002180737,77.6064382694338,56.7,7.0,living_street
S379276,12088229002,10839537531,12.9844604,77.6091097,12.9844357,77.609241,12.98444805,77.60917535,14.489,1.8,living_street
S379343,12096409199,12096409200,12.9636107,77.6010633,12.9636268,77.6011209,12.96361875,77.6010921,6.493,1.2,residential
S379344,12096409199,248455237,12.9636107,77.6010633,12.9636941,77.6010632,12.9636524,77.60106325000001,9.274,1.1,tertiary
S379345,12096409200,12096420236,12.9636268,77.6011209,12.9633685,77.6012105,12.96349765,77.6011657,30.318,3.6,tertiary
S379346,12096420235,12096420236,12.9633437,77.601115,12.9633685,77.6012105,12.9633561,77.60116274999999,10.71,1.3,tertiary_link
S379347,12096420235,12096409199,12.9633437,77.601115,12.9636107,77.6010633,12.963477259185227,77.60108945743245,30.213,3.6,tertiary
S379348,12096420236,248455473,12.9633685,77.6012105,12.9631451,77.601288,12.9632568,77.60124925,26.222,3.1,tertiary
S379349,12096420236,12096420235,12.9633685,77.6012105,12.9633437,77.601115,12.9633561,77.60116274999999,10.71,1.3,tertiary_link
S379407,12099941385,665045371,12.9863653,77.5887898,12.9864694,77.5890403,12.98646237447284,77.58889624772489,31.972,3.5,primary_link
S379408,12099941385,1307598719,12.9863653,77.5887898,12.9866561,77.5887342,12.986517182751925,77.58878962376876,33.769000000000005,2.6,primary
S379409,12099941393,1289949455,12.986778,77.5887785,12.9900879,77.5886588,12.988409502089436,77.58878210323641,373.9860000000001,34.2,tertiary
S379410,12099941393,665045371,12.986778,77.5887785,12.9864694,77.5890403,12.98662531767243,77.58891127464344,44.55,3.4,primary
S379456,12102882503,248462912,12.9618598,77.5980229,12.9618708,77.5979653,12.9618653,77.5979941,6.36,0.8,tertiary
S379457,12102882503,248462910,12.9618598,77.5980229,12.9627115,77.5984932,12.962292591182033,77.5982450859618,107.634,13.7,residential
S379458,12102882503,248455233,12.9618598,77.5980229,12.9617616,77.5984889,12.961810550674436,77.598255867068,51.664,6.2,tertiary
S379459,12102882513,459656182,12.9601559,77.601565,12.9600658,77.6016883,12.96011085,77.60162665,16.7,2.0,tertiary
S379460,12102882513,1067769810,12.9601559,77.601565,12.9602703,77.6014085,12.9602131,77.60148674999999,21.199,2.5,tertiary
S379461,12102946022,11885833154,12.9605763,77.6016143,12.9605931,77.6015082,12.9605847,77.60156125,11.648,1.4,tertiary_link
S379462,12102946022,12102882513,12.9605763,77.6016143,12.9601559,77.601565,12.96036472739228,77.60159930432745,47.148,5.7,tertiary
S379553,12109773377,459656119,12.9607285,77.5947849,12.9607245,77.5948159,12.9607265,77.5948004,3.389,0.4,residential
S379554,12109773377,428457186,12.9607285,77.5947849,12.9608146,77.5941145,12.960771552162589,77.59444970027768,73.274,9.3,residential
S379555,12109773377,459656121,12.9607285,77.5947849,12.9596998,77.5946859,12.960212504356704,77.59475884991849,115.13,14.6,residential
S379566,12111889674,428435131,12.964999,77.5963127,12.9649535,77.5968487,12.96496963903988,77.59658011856997,58.334,10.5,primary
S379567,12111889674,248455457,12.964999,77.5963127,12.965145,77.5967546,12.96504224023965,77.59654347032993,51.16,9.2,primary
S379568,12111889684,12128921371,12.9658436,77.5862553,12.9656192,77.5866696,12.96575782965876,77.58647518910905,52.092,4.7,secondary
S379569,12111889684,249087938,12.9658436,77.5862553,12.9659765,77.5867815,12.965899905279224,77.58652083364069,58.978,5.3,secondary
S379974,12118748984,248459838,12.9733756,77.5993501,12.9730942,77.6010663,12.97313416897557,77.60016398594082,196.27499999999995,17.9,tertiary
S379975,12118748984,3395155270,12.9733756,77.5993501,12.9728409,77.5991885,12.973102098227727,77.59929044868186,62.362,5.7,tertiary
S379976,12118752237,12118752238,12.9687455,77.5959615,12.968435,77.5958826,12.96859025,77.59592205,35.569,4.4,living_street
S379977,12118752238,12118752237,12.968435,77.5958826,12.9687455,77.5959615,12.96859025,77.59592205,35.569,4.4,living_street
S379978,12118752238,12118752264,12.968435,77.5958826,12.9685589,77.5953161,12.96849697634003,77.59559935576208,62.912,8.0,residential
S379979,12118752238,459815975,12.968435,77.5958826,12.9683025,77.5964879,12.968368744859648,77.59618524887571,67.224,8.6,residential
S379980,12118752264,12118752238,12.9685589,77.5953161,12.968435,77.5958826,12.96849697634003,77.59559935576208,62.91199999999999,8.0,residential
S379981,12118846714,9996923764,12.9895334,77.591338,12.988727,77.5920379,12.989155837045493,77.59165761010333,126.504,16.1,residential
S379982,12119649210,428435131,12.9648351,77.5967993,12.9649535,77.5968487,12.9648943,77.596824,14.212,1.1,primary
S379983,12119649210,428420203,12.9648351,77.5967993,12.9659381,77.5953318,12.96513823241078,77.59589346616522,214.60300000000004,16.2,primary
S379984,12120352152,461755363,12.9865115,77.5817236,12.9865569,77.5806354,12.986591349952864,77.58118728007491,119.925,15.3,residential
S379994,12128921370,3309317524,12.965494,77.5868123,12.9638455,77.585242,12.964635879023202,77.58605780229661,251.159,19.0,primary
S379995,12128921370,459598606,12.965494,77.5868123,12.9639599,77.5885883,12.964744215824847,77.5877151793909,257.293,19.5,primary
